City,Year,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Delray Beach,2018,69970,409,6,27,84,292,2522,279,2038,205,3
Doral,2018,63680,77,2,14,12,49,1464,108,1235,121,0
Dunedin,2018,36723,52,1,15,6,30,652,66,554,32,0
Dunnellon,2018,1808,5,0,0,2,3,88,19,69,0,0
Eatonville,2018,2289,45,1,2,2,40,129,28,87,14,2
Edgewater,2018,22643,25,0,1,5,19,410,65,306,39,3
Edgewood,2018,2996,4,0,0,1,3,66,12,49,5,0
El Portal,2018,2503,3,0,0,0,3,49,15,29,5,0
Eustis,2018,21182,39,4,2,21,12,522,101,374,47,1
Fellsmere,2018,5803,14,0,0,4,10,60,5,49,6,0
Fernandina Beach,2018,12411,19,0,7,1,11,280,30,229,21,1
Flagler Beach,2018,5152,3,0,0,0,3,79,14,58,7,0
Florida City,2018,12284,375,10,8,99,258,875,94,727,54,0
Fort Lauderdale,2018,182150,1006,20,73,350,563,9050,1366,6814,870,12
Fort Myers,2018,82805,582,11,53,146,372,2285,376,1652,257,5
Fort Pierce,2018,46109,283,7,23,66,187,1184,197,872,115,6
Fort Walton Beach,2018,22263,69,1,13,7,48,655,82,515,58,2
Fruitland Park,2018,9093,23,1,0,1,21,181,77,103,1,0
Gainesville,2018,133400,989,5,169,222,593,5229,510,4287,432,6
Golden Beach,2018,972,0,0,0,0,0,16,6,7,3,0
Graceville,2018,2188,4,0,0,0,4,29,14,14,1,0
Greenacres City,2018,41174,159,2,18,26,113,836,89,678,69,1
Green Cove Springs,2018,8130,32,0,5,3,24,180,34,140,6,2
Groveland,2018,14342,24,0,10,4,10,190,49,129,12,0
Gulf Breeze,2018,6642,8,0,3,1,4,89,5,82,2,0
Gulfport,2018,12424,15,0,2,3,10,398,47,319,32,1
Gulf Stream,2018,888,0,0,0,0,0,3,1,2,0,0
Haines City,2018,24887,36,1,3,12,20,528,71,424,33,0
Hallandale Beach,2018,40222,217,1,23,64,129,1296,140,1032,124,3
Havana,2018,1659,4,0,0,0,4,25,4,14,7,0
Hialeah,2018,241778,533,2,35,149,347,5355,407,4239,709,5
Hialeah Gardens,2018,24510,30,0,4,2,24,517,39,395,83,1
Highland Beach,2018,3838,3,1,0,0,2,24,1,19,4,0
High Springs,2018,6147,13,0,2,1,10,82,19,62,1,0
Hillsboro Beach,2018,2038,2,0,0,1,1,16,4,11,1,0
Holly Hill,2018,12302,63,0,3,9,51,495,90,357,48,0
Hollywood,2018,155503,363,5,37,109,212,4343,520,3253,570,5
Holmes Beach,2018,4325,3,0,0,0,3,46,11,33,2,0
Homestead,2018,71314,714,4,42,260,408,2282,280,1841,161,3
Howey-in-the-Hills,2018,1176,1,0,1,0,0,13,4,9,0,0
Hypoluxo,2018,2799,3,0,1,1,1,56,8,40,8,0
Indialantic,2018,2920,2,0,0,1,1,39,5,34,0,1
Indian Creek Village,2018,93,0,0,0,0,0,0,0,0,0,0
Indian Harbour Beach,2018,8617,2,0,0,2,0,93,14,79,0,1
Indian River Shores,2018,4280,0,0,0,0,0,21,7,10,4,0
Indian Rocks Beach,2018,4308,6,0,1,0,5,87,10,70,7,0
Indian Shores,2018,3809,6,0,1,0,5,30,2,25,3,0
Jacksonville,2018,903213,5381,110,535,1323,3413,30112,4909,22262,2941,76
Jacksonville Beach,2018,23842,143,1,18,36,88,915,67,786,62,0
Jasper,2018,3894,4,0,0,4,0,81,11,62,8,0
Jennings,2018,872,1,0,0,0,1,11,4,5,2,0
Juno Beach,2018,3682,5,0,0,2,3,46,6,40,0,0
Jupiter,2018,66457,132,0,15,31,86,959,84,814,61,1
Jupiter Inlet Colony,2018,459,0,0,0,0,0,1,0,1,0,0
Jupiter Island,2018,922,1,0,0,1,0,7,1,6,0,0
Kenneth City,2018,5111,10,0,1,2,7,143,23,117,3,1
Key Biscayne,2018,13299,5,0,0,1,4,90,12,68,10,0
Key Colony Beach,2018,837,0,0,0,0,0,13,3,10,0,0
Key West,2018,25286,100,0,18,10,72,808,74,652,82,2
Kissimmee,2018,72894,288,3,26,58,201,1839,285,1419,135,7
